"area","atuacao","descricao","imagem (branco)","imagem (escuro)","pgi_evolucao","sigla","z_aplicacao","z_aplicacoes_2023_2024","Creation Date","Modified Date","Slug","Creator","unique id"
"SUBPROCURADORIA-GERAL DE JUSTIÇA PARA ASSUNTOS ADMINISTRATIVOS","Área fim","","","","0,851851851851852","SGJAA","PGI 2023-2025","PGI 2023-2025 , PGA 2023","Jun 12, 2023 7:36 pm","May 22, 2025 2:51 pm","","(App admin)","1686609366069x395728086485640960"
"CHEFIA DE GABINETE","Área meio","","","","","CG","","PGA 2023","Jul 17, 2023 12:52 pm","Jul 17, 2023 12:52 pm","","raphaelrsantos@mpgo.mp.br","1689609129145x482280313375948800"
"SUBPROCURADORIA-GERAL DE JUSTIÇA PARA ASSUNTOS JURÍDICOS","Área meio","","","","","SGJAJ","","PGA 2023","Jul 17, 2023 12:57 pm","Jul 17, 2023 12:57 pm","","raphaelrsantos@mpgo.mp.br","1689609468135x314070696700411900"
"SGJAA - SUP. DE ADMINISTRAÇÃO","Área meio","SUPERINTENDÊNCIA DE ADMINISTRAÇÃO","","","","SGJAA - SADM","","PGA 2023","Jul 17, 2023 2:00 pm","Jul 17, 2023 2:01 pm","","raphaelrsantos@mpgo.mp.br","1689613231436x493762105751633900"
"SUP. DE ENGENHARIA","Área meio","SUPERINTENDÊNCIA DE ENGENHARIA","","","","SGJAA - SENGE","","PGA 2023","Jul 17, 2023 2:02 pm","Jul 17, 2023 2:02 pm","","raphaelrsantos@mpgo.mp.br","1689613346267x898516571116798000"
"SUP. DE FINANÇAS","Área meio","SUPERINTENDÊNCIA DE FINANÇAS","","","","SGJAA - SUFIN","","PGA 2023","Jul 17, 2023 2:02 pm","Jul 17, 2023 2:02 pm","","raphaelrsantos@mpgo.mp.br","1689613371002x686417483972739100"
"SUP. DE GESTÃO ORÇAMENTÁRIA E COMPRAS","Área meio","SUPERINTENDÊNCIA DE GESTÃO ORÇAMENTÁRIA E COMPRAS","","","","SGJAA - SGOC","","PGA 2023","Jul 17, 2023 2:03 pm","Jul 17, 2023 2:03 pm","","raphaelrsantos@mpgo.mp.br","1689613402140x421923261175562240"
"SUP. DE GESTÃO EM RECURSOS HUMANOS","Área meio","SUPERINTENDÊNCIA DE GESTÃO EM RECURSOS HUMANOS","","","","SGJAA - SGRH","","PGA 2023","Jul 17, 2023 2:03 pm","Jul 17, 2023 2:03 pm","","raphaelrsantos@mpgo.mp.br","1689613438299x539627141616107500"
"SUP. DE INFORMÁTICA","Área meio","SUPERINTENDÊNCIA DE INFORMÁTICA","","","","SGJAA - SINFO","","PGA 2023","Jul 17, 2023 2:04 pm","Jul 17, 2023 2:04 pm","","raphaelrsantos@mpgo.mp.br","1689613466314x812249021823057900"
"SUP. JUDICIÁRIA","Área meio","SUPERINTENDÊNCIA JUDICIÁRIA","","","","SGJAA - SUJUD","","PGA 2023","Jul 17, 2023 2:04 pm","Jul 17, 2023 2:04 pm","","raphaelrsantos@mpgo.mp.br","1689613490323x802681604973264900"
"CONTROLADORIA INTERNA","Área meio","CONTROLADORIA INTERNA DO MP-GO","","","","SGJAA - CIMP","","PGA 2023","Jul 17, 2023 2:06 pm","Jul 17, 2023 2:06 pm","","raphaelrsantos@mpgo.mp.br","1689613588633x461379340358385660"
"MPGO","Área fim","","","","","MPGO","","PGA 2024","Sep 18, 2024 1:00 pm","Sep 18, 2024 1:00 pm","","patricia.matos@mpgo.mp.br","1726675241817x942463853022937100"
"SUBPROCURADORIA-GERAL DE JUSTIÇA PARA ASSUNTOS DE PLANEJAMENTO, ESTRATÉGIA E INOVAÇÃO","Área fim","","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748378393671x971476028038762400/SUB%20PLAN%20b.png?_gl=1*1vakpuh*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzc4MTU2JGoxMSRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748378398357x430030025246984800/SUB%20PLAN.png?_gl=1*1vakpuh*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzc4MTU2JGoxMSRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","0,71875","SUBPLEI","PGI 2025-2027","PGA 2025 , PGI 2025-2027","May 12, 2025 9:12 pm","Dec 2, 2025 5:35 pm","","raphaelrsantos@mpgo.mp.br","1747095154562x500319298685763600"
"SUBPROCURADORIA-GERAL DE JUSTIÇA PARA ASSUNTOS ADMINISTRATIVOS","Área fim","","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748378312824x731822159085142500/SUB%20AMD%20b.png?_gl=1*1tov9ve*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzc4MTU2JGoxMSRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748378304517x767083810042017900/SUB%20ADM.png?_gl=1*1tov9ve*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzc4MTU2JGoxMSRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","0,605263157894737","SGJAA","PGI 2025-2027","","May 22, 2025 3:11 pm","Jan 20, 2026 4:01 pm","","raphaelrsantos@mpgo.mp.br","1747937515213x986311475162513400"
"ESCRITÓRIO DF","Área fim","","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748378193803x729412474881381800/ESCRITO%E2%95%A0%C3%BCRIO%20DF%20b.png?_gl=1*39evo4*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzc4MTU2JGoxMSRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748378209223x305978190157062600/ESCRITO%E2%95%A0%C3%BCRIO%20DF.png?_gl=1*39evo4*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzc4MTU2JGoxMSRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","1","ESC.DF","PGI 2025-2027","","May 22, 2025 3:12 pm","Dec 2, 2025 10:49 am","","raphaelrsantos@mpgo.mp.br","1747937561511x204741106392367100"
"SUBPROCURADORIA-GERAL DE JUSTIÇA PARA ASSUNTOS INSTITUCIONAIS","Área fim","","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748378336521x961568480627675400/SUB%20INST%20b.png?_gl=1*e9t70m*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzc4MTU2JGoxMSRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748378340427x250138939021046000/SUB%20INST.png?_gl=1*e9t70m*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzc4MTU2JGoxMSRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","0,563636363636364","SGJAI","PGI 2025-2027","","May 22, 2025 3:14 pm","Nov 27, 2025 6:00 pm","","raphaelrsantos@mpgo.mp.br","1747937695508x404148370747949060"
"ASSESSORIA DE COMUNICAÇÃO","Área meio","","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748395566707x555707842162026500/ASSESSORIA%20DE%20COMUNICAC%CC%A7A%CC%83O%20b.png?_gl=1*11ltu8p*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzk1NTM0JGo2MCRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748395561783x145558128533906270/ASSESSORIA%20DE%20COMUNICAC%CC%A7A%CC%83O.png?_gl=1*11ltu8p*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzk1NTM0JGo2MCRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","0,6","ASCOM","PGI 2025-2027","","May 22, 2025 3:15 pm","Nov 25, 2025 3:20 pm","","raphaelrsantos@mpgo.mp.br","1747937704940x538909118890508300"
"CENTRO INTEGRADO DE INVESTIGAÇÃO E INTELIGÊNCIA","Área fim","","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748378123756x598411122800618600/CSI%20B.png?_gl=1*18rl2im*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzc4MTA3JGo2MCRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748378129705x917177479877360400/CSI.png?_gl=1*39evo4*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzc4MTU2JGoxMSRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","0,4","CIII","PGI 2025-2027","","May 22, 2025 3:15 pm","Dec 1, 2025 5:22 pm","","raphaelrsantos@mpgo.mp.br","1747937711432x370888946825035800"
"ESCOLA SUPERIOR DO MPGO","Área fim","","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748378231610x559738298861714100/ESUMP%20B.png?_gl=1*1my1o6g*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzc4MTU2JGoxMSRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748378236040x397462840359147600/ESUMP.png?_gl=1*1my1o6g*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzc4MTU2JGoxMSRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","0,623076923076923","ESUMP","PGI 2025-2027","","May 22, 2025 3:15 pm","Mar 31, 2026 4:56 pm","","raphaelrsantos@mpgo.mp.br","1747937717991x243025593384828930"
"PROCURADORIA GERAL DE JUSTIÇA","Área fim","","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748452755166x722243024295954300/PGJ%20B.png?_gl=1*18syhv8*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDg0NTI3OTYkbzE1JGcxJHQxNzQ4NDUyOTExJGo2MCRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748452751195x676989706090047600/PGJ.png?_gl=1*t68ypw*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDg0NTI3OTYkbzE1JGcwJHQxNzQ4NDUyNzk2JGo2MCRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","0,8","PGJ","PGI 2025-2027","","May 22, 2025 3:15 pm","Dec 2, 2025 10:43 am","","raphaelrsantos@mpgo.mp.br","1747937725457x611005531110244400"
"SUBPROCURADORIA-GERAL DE JUSTIÇA PARA ASSUNTOS JURÍDICOS","Área meio","","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748378361522x772323365610370100/SUB%20JUR%20b.png?_gl=1*e9t70m*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzc4MTU2JGoxMSRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748378365987x733075123502452400/SUB%20JUR.png?_gl=1*e9t70m*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzc4MTU2JGoxMSRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","0,6","SGJAJ","PGI 2025-2027","","May 22, 2025 3:15 pm","Nov 28, 2025 5:10 pm","","raphaelrsantos@mpgo.mp.br","1747937733698x382631040512163840"
