"eixo","evolucao","imagem","imagem (branco)","imagem (escuro)","info","z_aplicacao","Creation Date","Modified Date","Slug","Creator","unique id"
"Relacionamento e Comunicação","0,916666666666667","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138273976x833648363684744600/PGI_Comunica%C3%A7%C3%A3o.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138282522x612455616247058400/PGI_Comunica%C3%A7%C3%A3o%20%28branco%29.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 5,5
Qtde Ações: 6","PGI 2023-2025","Jun 30, 2023 12:18 pm","May 22, 2025 2:52 pm","","raphaelrsantos@mpgo.mp.br","1688138284888x913984234683891700"
"Sedes","0,76","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138308976x410961458884635300/PGI_Sedes.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138313328x798999174969177000/PGI_Sedes%20%28branco%29.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 3,8
Qtde Ações: 5","PGI 2023-2025","Jun 30, 2023 12:18 pm","May 22, 2025 2:52 pm","","raphaelrsantos@mpgo.mp.br","1688138316127x567503764141375500"
"Direitos","0,62","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376634231x206845911799295360/Direitos%20.c.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376637925x901538154836704100/Direitos%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 3,1
Qtde Ações: 5","PGI 2025-2027","May 22, 2025 3:00 pm","Jan 20, 2026 3:57 pm","","raphaelrsantos@mpgo.mp.br","1747936816244x628492675078684700"
"Reconhecimento da Atuação","0,566666666666667","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376821952x192565604914336500/Reconhecimento%20da%20Atuac%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20.c.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376827586x770632079772804700/Reconhecimento%20da%20Atuac%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 1,7
Qtde Ações: 3","PGI 2025-2027","May 22, 2025 3:01 pm","Sep 17, 2025 6:53 pm","","raphaelrsantos@mpgo.mp.br","1747936869636x382892049048272900"
"Fortalecimento Institucional","0,95","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376694295x815934295128037100/Fortalecimento%20Institucional%20.c.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376699235x788631835337030000/Fortalecimento%20Institucional%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 1,9
Qtde Ações: 2","PGI 2025-2027","May 22, 2025 3:01 pm","Nov 28, 2025 3:51 pm","","raphaelrsantos@mpgo.mp.br","1747936891843x249177876776091650"
"Valorização da Carreira","0,5","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376889716x395654496260868350/Valorizac%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20da%20Carreira%20.c.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376893658x983988883046127600/Valorizac%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20da%20Carreira%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 0,5
Qtde Ações: 1","PGI 2025-2027","May 22, 2025 3:02 pm","Sep 18, 2025 4:13 pm","","raphaelrsantos@mpgo.mp.br","1747936943426x604493492737540100"
"Modernização das Instalações","0,775","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748452777035x875964926042053200/Modernizac%CC%A7a%CC%83o%20das%20Instalac%CC%A7o%CC%83es.png?_gl=1*bz0az5*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDgzNjIxNjgkbzE0JGcxJHQxNzQ4Mzk1NTM0JGo2MCRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","https://d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748452772488x261054192755905100/Modernizac%CC%A7a%CC%83o%20das%20Instalac%CC%A7o%CC%83es%20b.png?_gl=1*1enq8qg*_gcl_au*OTI0NjU5ODQyLjE3NDYyNzk2MTI.*_ga*MTU3NDQyMTkwMS4xNzQ2Mjc5NTY3*_ga_BFPVR2DEE2*czE3NDg0NTI3OTYkbzE1JGcwJHQxNzQ4NDUyNzk2JGo2MCRsMCRoMCRkWXVNT0JNaV9kLThMTXI4N2JHYWp6cE1mbWVYUndKSzNnUQ..","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 3,1
Qtde Ações: 4","PGI 2025-2027","May 22, 2025 3:02 pm","Jan 20, 2026 4:01 pm","","raphaelrsantos@mpgo.mp.br","1747936955640x231101802277502980"
"Aperfeiçoamento Institucional","0,5875","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376341765x694854314375101840/Aperfeicoamento%20institucional.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376347181x206632094495614820/Aperfeicoamento%20institucional%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 4,7
Qtde Ações: 8","PGI 2025-2027","May 22, 2025 3:02 pm","Dec 2, 2025 5:15 pm","","raphaelrsantos@mpgo.mp.br","1747936971442x352222709637709800"
"Gestão do Conhecimento","0,85","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376723260x201276676243607550/Gesta%E2%95%A0%C3%A2o%20do%20Conhecimento%20.c.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376726652x149465694084468100/Gesta%E2%95%A0%C3%A2o%20do%20Conhecimento%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 3,4
Qtde Ações: 4","PGI 2025-2027","May 22, 2025 3:03 pm","Dec 2, 2025 2:50 pm","","raphaelrsantos@mpgo.mp.br","1747937000098x744486851331227600"
"Apoio Técnico e Operacional","0,5","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376368736x887606824772827500/Apoio%20Te%E2%95%A0%C3%BCcnico%20e%20Operacional.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376373294x376355435340598200/Apoio%20Te%E2%95%A0%C3%BCcnico%20e%20Operacional%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 2
Qtde Ações: 4","PGI 2025-2027","May 22, 2025 3:03 pm","Nov 28, 2025 4:07 pm","","raphaelrsantos@mpgo.mp.br","1747937012860x193936282530611200"
"Automação Inteligente","0,725","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376469184x843375170421322400/Automac%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20Inteligente.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376472951x669263235913402400/Automac%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20Inteligente%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 2,9
Qtde Ações: 4","PGI 2025-2027","May 22, 2025 3:03 pm","Dec 2, 2025 5:28 pm","","raphaelrsantos@mpgo.mp.br","1747937027432x708477624465227800"
"Integração Sistêmica","0,633333333333333","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376748919x826040817143025400/Integrac%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20Siste%E2%95%A0%C3%A9mica%20.c.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376753196x319480588382821760/Integrac%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20Siste%E2%95%A0%C3%A9mica%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 1,9
Qtde Ações: 3","PGI 2025-2027","May 22, 2025 3:03 pm","Dec 2, 2025 5:35 pm","","raphaelrsantos@mpgo.mp.br","1747937037089x787800905963274200"
"Atualização Contínua","0,65","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376441468x435895312528509440/Atualizac%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20Conti%E2%95%A0%C3%BCnua.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376449541x961098413821661400/Atualizac%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20Conti%E2%95%A0%C3%BCnua%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 1,3
Qtde Ações: 2","PGI 2025-2027","May 22, 2025 3:04 pm","Sep 18, 2025 4:08 pm","","raphaelrsantos@mpgo.mp.br","1747937053247x814261195004444700"
"Investigação","0,58","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376761751x444321499717834000/Investigac%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20.c.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376765192x939588913337299200/Investigac%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 2,9
Qtde Ações: 5","PGI 2025-2027","May 22, 2025 3:04 pm","Dec 1, 2025 5:22 pm","","raphaelrsantos@mpgo.mp.br","1747937081482x684227935240978400"
"Segurança","0,4","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376878605x360015068330939300/Seguranc%E2%95%A0%C2%BAa.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376882858x287514819758953900/Seguranc%E2%95%A0%C2%BAa%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 1,2
Qtde Ações: 3","PGI 2025-2027","May 22, 2025 3:04 pm","Sep 18, 2025 12:34 pm","","raphaelrsantos@mpgo.mp.br","1747937087883x257725122661580800"
"Articulação Externa Estratégica","0,92","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376402678x818584015261438300/Articulac%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20Externa%20Estrate%E2%95%A0%C3%BCgica.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376397417x532783332940380800/Articulac%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20Externa%20Estrate%E2%95%A0%C3%BCgica%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 4,6
Qtde Ações: 5","PGI 2025-2027","May 22, 2025 3:05 pm","Dec 2, 2025 10:49 am","","raphaelrsantos@mpgo.mp.br","1747937102670x489752620151865340"
"Diálogo Interno Fortalecido","0,75","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376618528x402103310743635840/Dia%E2%95%A0%C3%BClogo%20Interno%20Fortalecido%20.c.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376622027x305707568969459100/Dia%E2%95%A0%C3%BClogo%20Interno%20Fortalecido%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 1,5
Qtde Ações: 2","PGI 2025-2027","May 22, 2025 3:05 pm","Dec 2, 2025 10:20 am","","raphaelrsantos@mpgo.mp.br","1747937120524x165392577779466240"
"Defesa Permanente","0,5","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376492179x760510485916148600/Defesa%20Permanente.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376499892x258179663457359650/Defesa%20Permanente%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 0,5
Qtde Ações: 1","PGI 2025-2027","May 22, 2025 3:05 pm","Dec 2, 2025 10:29 am","","raphaelrsantos@mpgo.mp.br","1747937129644x222856222020730880"
"Parcerias Institucionais","0,625","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376791667x632755680484077300/Parcerias%20Institucionais%20.c.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376796784x170716957451722430/Parcerias%20Institucionais%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 2,5
Qtde Ações: 4","PGI 2025-2027","May 22, 2025 3:05 pm","Mar 31, 2026 4:53 pm","","raphaelrsantos@mpgo.mp.br","1747937139694x671003534408548400"
"Pesquisa e Produção Acadêmica","0,56","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376806657x998893763218454500/Pesquisa%20e%20Produc%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20Acade%E2%95%A0%C3%A9mica%20.c.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376813553x841832903398467500/Pesquisa%20e%20Produc%E2%95%A0%C2%BAa%E2%95%A0%C3%A2o%20Acade%E2%95%A0%C3%A9mica%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 2,8
Qtde Ações: 5","PGI 2025-2027","May 22, 2025 3:05 pm","Mar 31, 2026 4:56 pm","","raphaelrsantos@mpgo.mp.br","1747937153056x147907212689276930"
"Gestão do Conhecimento e Biblioteca","0,6","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376734596x319934523560861700/Gesta%E2%95%A0%C3%A2o%20do%20Conhecimento%20e%20Biblioteca%20.c.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376739458x138267661652110580/Gesta%E2%95%A0%C3%A2o%20do%20Conhecimento%20e%20Biblioteca%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 1,8
Qtde Ações: 3","PGI 2025-2027","May 22, 2025 3:06 pm","Nov 26, 2025 5:17 pm","","raphaelrsantos@mpgo.mp.br","1747937165400x864174339029991400"
"Saúde, Qualidade de Vida e Ambiente Institucional","0,175","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376865561x316865825272516500/Sau%E2%95%A0%C3%BCde%2C%20Qualidade%20de%20Vida%20e%20Ambiente%20Institucional.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376870792x135740584282788560/Sau%E2%95%A0%C3%BCde%2C%20Qualidade%20de%20Vida%20e%20Ambiente%20Institucional%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 0,7
Qtde Ações: 4","PGI 2025-2027","May 22, 2025 3:06 pm","Sep 18, 2025 1:53 pm","","raphaelrsantos@mpgo.mp.br","1747937182274x449746315125981200"
"Gestão de Pessoas e Carreiras","0,78","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376709012x339844830311581300/Gesta%E2%95%A0%C3%A2o%20de%20Pessoas%20e%20Carreiras%20.c.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376713418x254746120102181660/Gesta%E2%95%A0%C3%A2o%20de%20Pessoas%20e%20Carreiras%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 3,9
Qtde Ações: 5","PGI 2025-2027","May 22, 2025 3:06 pm","Jan 20, 2026 3:56 pm","","raphaelrsantos@mpgo.mp.br","1747937191126x127942221890584580"
"Equidade, Inclusão e Diversidade","0,4","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376655178x125227807543411460/Equidade%2C%20Inclusa%E2%95%A0%C3%A2o%20e%20Diversidade%20.c.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1748376663014x640856068605832800/Equidade%2C%20Inclusa%E2%95%A0%C3%A2o%20e%20Diversidade%20b.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 0,4
Qtde Ações: 1","PGI 2025-2027","May 22, 2025 3:06 pm","Nov 26, 2025 11:08 am","","raphaelrsantos@mpgo.mp.br","1747937203506x114571329448706050"
